"";"indicator";"code";"estimate";"stddev";"nsource";"pctrank";"pctranklower";"pctrankupper";"eiu";"prs";"wmo";"scalemean";"scalesd";"extreme_event"
"9188";"rq";"LBY";-0,093579888343811;-0,0202488750219345;7;10,5263156890869;0,415756702423096;22,0095691680908;0,2;0,727272727272727;0,3125;0,000221777707338333;0,954128801822662;0
"9189";"rq";"LBY";-0,112457752227783;0,00393812358379364;7;7,65550231933594;-1,43540668487549;18,6602878570557;0,15;0,727272727272727;0,3125;0,00111901760101318;0,948162198066711;0
"9190";"rq";"LBY";-0,129681825637817;0,00306256115436554;6;6,16113758087158;-0,979614019393921;12,3222751617432;0,15;0,590909090909091;0,1875;0,00180090963840485;0,954115867614746;0
"9191";"rq";"LBY";-0,193500161170959;0,0177949219942093;7;2,84360194206238;-0,947867274284363;9,00473976135254;0,1;0,590909090909091;0,1875;0,0184827093034983;0,947665274143219;0
"9192";"rq";"LBY";-0,123736023902893;-0,00307758152484894;7;2,36966824531555;0;6,63507127761841;0,1;0,454545454545454;0,1875;-0,000702874734997749;0,95167863368988;0
"9193";"rq";"LBY";-0,35261058807373;0,00873667001724243;7;0,961538434028625;-1,42180097103119;3,36538457870483;0,1;0,5;0;0,00803818367421627;0,937564015388489;0
"9194";"rq";"LBY";-0,150809288024902;-0,00178386270999908;6;0,476190477609634;0;2,38095235824585;0,05;0,5;0;0,0124834495363757;0,937797725200653;1
"9195";"rq";"LBY";0,0331559181213379;0,0232868045568466;5;0,476190477609634;0;2,85714292526245;0,05;0,454545454545454;0;-0,0100994574604556;0,929906666278839;0
"9196";"rq";"LBY";0,0676331520080566;-0,0227072685956955;6;1,42857146263123;0;3,33333325386047;0,05;0,590909090909091;0;-0,00162773113697767;0,931804716587067;0
"9197";"rq";"LBY";-0,0674104690551758;-0,0017322450876236;6;0,952380955219269;0;2,85714292526245;0,05;0,545454545454545;0;0,00511325988918543;0,927863955497742;0
"9198";"rq";"LBY";-0,0871024131774902;-0,00373284518718719;6;0,952380955219269;0;2,85714292526245;0,05;0,5;0;0,00546611403115094;0,929350018501282;0
"9199";"rq";"LBY";0,081315279006958;0,0231234729290009;5;0,952380955219269;0;3,80952382087708;0,05;0,5;0,0833333333333333;0,00743630365468562;0,926646053791046;1
"9200";"rq";"LBY";0,253539800643921;0,0145561546087265;4;2,85714292526245;0;4,7619047164917;0,05;0,5;0,166666666666667;-0,00155710568651557;0,928502559661865;0
"9201";"rq";"LBY";-0,121882677078247;0,00682282447814941;4;1,41509437561035;0;3,77358484268188;0,05;0,454545454545454;0,166666666666667;0,00439733732491732;0,925563812255859;1
"9202";"rq";"LBY";0,143429756164551;0,00102329254150391;4;2,35849046707153;0;4,71698093414307;0,1;0,5;0,166666666666667;-0,00300608295947313;0,925117671489716;0
"9203";"va";"LBY";-0,181850552558899;0,00563625991344452;6;-5,02238798141479;-2,00248757004738;-4,05223846435547;0;-0,0833333333333333;0,3125;0,0133618153631687;0,964783012866974;0
"9204";"va";"LBY";-0,00950634479522705;-0,0171631872653961;7;0;0,995024830102921;0;0;0;0,3125;0,0161854345351458;0,959075272083282;0
"9205";"va";"LBY";-0,135402083396912;-0,0381339490413666;9;-1,99004983901978;-1,49253726005554;-3,98009967803955;0;0;0,3125;0,0308403130620718;0,949432492256165;0
"9206";"va";"LBY";0,0674103498458862;-0,000319406390190125;9;0,995024919509888;0,497512429952621;1,49253702163696;0;0;0,3125;0,0150138307362795;0,958297193050385;0
"9207";"va";"LBY";-0,0385334491729736;-0,019146129488945;11;-1,07874083518982;-0,0167432129383087;-2,19096803665161;0;0;0,34;0,0156113039702177;0,95137619972229;0
"9208";"va";"LBY";-0,0632064342498779;0,00539746880531311;11;0;0,480769217014313;0;0;0;0,375;0,0297159180045128;0,957519948482513;0
"9209";"va";"LBY";-0,124487996101379;-0,0247868075966835;11;0;-0,480769217014313;-2,4038462638855;0,092;0;0,375;0,0675602555274963;0,963614165782928;0
"9210";"va";"LBY";0,0317301750183105;0,00054747611284256;12;0;0,480769217014313;0,961538314819336;0;0;0,375;0,0701527148485184;0,966094136238098;0
"9211";"va";"LBY";0,00966107845306396;-0,00426451116800308;12;0;0;-0,480769157409668;0,00800000000000001;0;0,375;0,074021652340889;0,968870937824249;1
"9212";"va";"LBY";0,0312137603759766;-0,00132274627685547;13;0,43975567817688;0,460262537002563;-0,0546846389770508;0;0;0,4375;0,071712352335453;0,96541702747345;0
"9213";"va";"LBY";-0,0301371812820435;-0,00215031206607819;13;0;-0,947867333889008;0;-0,003;0;0,3125;0,0743588134646416;0,967878520488739;0
"9214";"va";"LBY";0,346002221107483;0,00428587198257446;11;3,729168176651;3,28193479776382;5,12871885299683;0,17425;0,125;0,25;0,0722240880131721;0,972301363945007;0
"9215";"va";"LBY";0,693670332431793;0,00209712237119675;13;16,431923866272;11,7370896339417;17,8403749465942;0,1425;-0,0416666666666669;0,25;0,0772623941302299;0,97384774684906;0
"9216";"va";"LBY";-0,0709325075149536;-0,00714673101902008;14;-2,3474178314209;-0,469484329223633;-1,40845108032227;-0,0165;0;0,25;0,0792274549603462;0,976118624210358;0
"9217";"cc";"LKA";-0,083364762365818;-0,0350210964679718;4;53,4759368896484;40,1069526672363;62,5668449401855;0;0;0,5;0,00660958606749773;0,941908359527588;0
"9218";"cc";"LKA";-0,199228778481483;-0,00581559538841248;5;50;36,7021293640137;60,638298034668;0;0;0,375;0,00461735809221864;0,93216997385025;0
